,gap,LB,rank_ratio,sdp_measure
0,0.2515534994573108,97428.91318650899,0.039221050373385725,0.3421292316929575
1,0.22695452438155186,100631.08115094657,0.030952097312661284,0.271513985137012
2,0.21767659147768184,101838.83470285172,0.017874355514760475,0.12361668933309838
3,0.21484336262157336,102207.649852711,0.024591382774722857,0.1425231418526304
4,0.21417589033387505,102294.5379596437,0.006731442402459032,0.019759417107712788
5,0.21397118035381255,102321.18605120596,0.006756681665555902,0.01663790556473748
6,0.2138707886846719,102334.25452197877,0.006905277540571246,0.019380096989679182
7,0.21382541175045153,102340.1614577205,0.00815137851713399,0.012736782771275261
8,0.21381446778940977,102341.58608624035,0.005789186480748932,0.009108163054994635
9,0.21373680608078371,102351.69568774448,0.006762306156768379,0.010226588538936071
10,0.21370345393251408,102356.03729874271,0.006234190347736077,0.004774873702353659
11,0.21367291798557037,102360.01231114732,0.005628812502213946,0.0045659949398703225
12,0.21357135447263123,102373.23332651434,0.005038651758413278,0.004113381603874764
13,0.21350654712298092,102381.66961372839,0.006128754365028254,0.002710447211153161
14,0.2134415152223644,102390.13513183146,0.006317623258934318,0.001872879179255629
15,0.21337133543709724,102399.27077506218,0.005818716214600439,0.0016579331577958572
16,0.2132556592425497,102414.328906683,0.00697067261897808,0.002053777621115809
17,0.2131857673692812,102423.42707101163,0.006546568191155262,0.0010838220279081943
18,0.21310972719266558,102433.32558982466,0.006590081910492256,0.0014375518713586435
19,0.21304750657690513,102441.42514933484,0.006391577293405044,0.0008205907406528575
20,0.20700222027426426,103228.36940512403,0.004858956701181553,0.02072684552807231
21,0.2067231319052766,103264.69969253101,0.0041057565294321235,0.010448772596235648
22,0.20534984631004147,103443.46694301776,0.004626765703252498,0.009236454865856515
23,0.20455522202568982,103546.90704242347,0.005174105751595474,0.006225132961917577
24,0.20337646382652733,103700.35171772199,0.0045704917410227764,0.007175710693149035
25,0.2019032874628218,103892.12223431043,0.005048359650488474,0.010925417777318503
26,0.20172103125777413,103915.84740901085,0.00783716409553057,0.007249947413835609
27,0.20060026630928016,104061.7428214286,0.004666750308215627,0.007892273736011167
